Timestamp,Microseconds,Report_1_IA,Report_1_IB,Report_1_IC,Report_1_VA_kV,Report_1_VB_kV,Report_1_VC_kV
2019/07/12 13:20:45.617986,24344.901,-8.830349,6.709029,-2.466388,-7.981821,10.83429,-2.858125
2019/07/12 13:20:45.618117,24475.088,-8.007277,6.363961,-2.545584,-8.417399,10.6066,-2.19486
2019/07/12 13:20:45.618247,24605.274,-7.503818,6.628418,-3.102784,-8.738425,10.37467,-1.653216
2019/07/12 13:20:45.618377,24735.461,-7.185619,7.133293,-3.394113,-9.024096,10.13001,-1.1144
2019/07/12 13:20:45.618507,24865.648,-7.875755,7.901211,-3.022174,-9.355022,9.87121,-0.5006316
2019/07/12 13:20:45.618637,24995.834,-8.591347,8.140213,-2.996718,-9.701505,9.603924,0.1117229
2019/07/12 13:20:45.618768,25126.021,-8.988741,8.43154,-3.15511,-9.968791,9.349366,0.6137686
2019/07/12 13:20:45.618898,25256.208,-8.936415,8.803479,-3.897573,-10.13001,9.121677,1.00692
2019/07/12 13:20:45.619028,25386.394,-8.697413,8.670544,-4.24264,-10.25729,8.878432,1.398657
2019/07/12 13:20:45.619158,25516.581,-9.333809,7.928081,-3.500178,-10.42982,8.553164,1.895046
2019/07/12 13:20:45.619288,25646.768,-10.65893,6.204155,-1.112986,-10.66458,8.104857,2.556898
2019/07/12 13:20:45.619418,25776.954,-11.64039,4.666904,0.8485281,-10.905,7.61554,3.269662
2019/07/12 13:20:45.619549,25907.141,-12.1184,4.21577,1.61786,-11.07895,7.188447,3.873531
2019/07/12 13:20:45.619679,26037.327,-11.243,4.269511,0.821658,-11.17229,6.813681,4.350121
2019/07/12 13:20:45.619809,26167.514,-9.704333,4.533969,-1.272792,-11.2133,6.454471,4.747515
2019/07/12 13:20:45.619939,26297.701,-8.219409,3.978183,-2.59791,-11.23451,6.062734,5.147738
2019/07/12 13:20:45.620069,26427.887,-6.576093,2.67852,-2.254256,-11.23451,5.603114,5.600286
2019/07/12 13:20:45.620200,26558.074,-6.390831,0.7693322,-0.7424621,-11.21047,5.085512,6.10516
2019/07/12 13:20:45.620330,26688.261,-6.628418,-0.5840701,0.6363961,-11.17512,4.572153,6.585992
2019/07/12 13:20:45.620460,26818.447,-6.682159,-0.6363961,1.193596,-11.1341,4.10829,6.997529
2019/07/12 13:20:45.620590,26948.634,-6.337091,-0.2658722,0.9545941,-11.06056,3.626043,7.404822
2019/07/12 13:20:45.620720,27078.821,-5.436237,-0.9277241,1.03379,-10.91773,3.015103,7.875755
2019/07/12 13:20:45.620850,27209.007,-4.826711,-1.697056,0.6901362,-10.71267,2.357494,8.336789
2019/07/12 13:20:45.620981,27339.194,-4.321836,-0.9277241,0.2390021,-10.48357,1.817264,8.646502
2019/07/12 13:20:45.621111,27469.38,-4.348707,-0.8485281,0.4242641,-10.23608,1.320876,8.889746
2019/07/12 13:20:45.621241,27599.567,-4.375577,-0.9008541,1.245922,-9.960306,0.7226631,9.222086
2019/07/12 13:20:45.621371,27729.754,-5.091168,-1.139856,2.254256,-9.683121,0.07495332,9.603924
2019/07/12 13:20:45.621501,27859.94,-5.860501,-1.53725,2.545584,-9.421491,-0.4949747,9.910809
2019/07/12 13:20:45.621632,27990.127,-6.416287,-0.7962022,2.360322,-9.174004,-0.9362094,10.11021
2019/07/12 13:20:45.621762,28120.314,-6.921161,-0.47659,2.254256,-8.935001,-1.32229,10.26436
2019/07/12 13:20:45.621892,28250.5,-6.921161,-0.7693322,1.909188,-8.643673,-1.797465,10.44114
2019/07/12 13:20:45.622022,28380.687,-5.303301,-3.15511,2.65165,-8.213753,-2.459317,10.67024
2019/07/12 13:20:45.622152,28510.874,-3.739181,-5.885957,3.447853,-7.687665,-3.234306,10.9248
2019/07/12 13:20:45.622283,28641.06,-3.68544,-6.894291,3.659985,-7.21956,-3.890501,11.12138
2019/07/12 13:20:45.622413,28771.247,-4.003639,-5.833631,3.367243,-6.846208,-4.372748,11.22886
2019/07/12 13:20:45.622543,28901.433,-4.826711,-3.791507,1.61786,-6.506796,-4.757414,11.26421
2019/07/12 13:20:45.622673,29031.62,-4.932777,-1.909188,-0.07919596,-6.151829,-5.120867,11.26845
2019/07/12 13:20:45.622803,29161.807,-3.552505,-1.61786,-1.61786,-5.726151,-5.536646,11.26563
2019/07/12 13:20:45.622933,29291.993,-1.53725,-3.15511,-1.936058,-5.229762,-6.013236,11.25573
2019/07/12 13:20:45.623064,29422.18,0.05374011,-4.613165,-1.405728,-4.750343,-6.471441,11.22886
2019/07/12 13:20:45.623194,29552.367,0.5840701,-5.276431,-1.351988,-4.319008,-6.857522,11.17653
2019/07/12 13:20:45.623324,29682.553,0.5840701,-5.250975,-1.53725,-3.849489,-7.235116,11.08461
2019/07/12 13:20:45.623454,29812.74,1.484924,-5.197235,-1.961514,-3.238549,-7.697564,10.93753
2019/07/12 13:20:45.623584,29942.927,2.227386,-4.852167,-2.518714,-2.549827,-8.192539,10.73954
2019/07/12 13:20:45.623715,30073.113,2.281126,-4.109704,-2.466388,-1.948786,-8.565891,10.52175
2019/07/12 13:20:45.623845,30203.3,1.511794,-3.791507,-2.254256,-1.442498,-8.838835,10.29123
2019/07/12 13:20:45.623975,30333.487,1.405728,-4.082835,-1.458054,-0.8966114,-9.151376,10.05082
2019/07/12 13:20:45.624105,30463.673,1.643316,-4.958233,-0.609526,-0.2842569,-9.530385,9.808985
2019/07/12 13:20:45.624235,30593.86,1.882318,-5.648369,-0.2658722,0.2941564,-9.855654,9.569983
2019/07/12 13:20:45.624366,30724.046,1.53725,-6.124959,0.1329361,0.774989,-10.07486,9.32391
2019/07/12 13:20:45.624496,30854.233,1.272792,-6.098088,-0.02687006,1.172383,-10.22194,9.063694
2019/07/12 13:20:45.624626,30984.42,0.9277241,-6.363961,-0.05374011,1.585333,-10.36477,8.778023
2019/07/12 13:20:45.624756,31114.606,2.14819,-7.185619,-1.166726,2.142534,-10.55428,8.413157
2019/07/12 13:20:45.624886,31244.793,5.038843,-8.485281,-2.810042,2.866611,-10.78621,7.937981
2019/07/12 13:20:45.625016,31374.98,6.549223,-9.306939,-4.136575,3.57796,-10.99834,7.44442
2019/07/12 13:20:45.625147,31505.166,6.284765,-9.704333,-4.321836,4.123847,-11.13269,7.028641
2019/07/12 13:20:45.625277,31635.353,4.24264,-8.512152,-4.057379,4.521241,-11.18501,6.670846
2019/07/12 13:20:45.625407,31765.54,2.439518,-6.840551,-3.766051,4.869137,-11.18784,6.315878
2019/07/12 13:20:45.625537,31895.726,1.643316,-5.463107,-4.454773,5.272188,-11.1935,5.917069
2019/07/12 13:20:45.625667,32025.913,2.572454,-5.064299,-6.045763,5.747364,-11.21047,5.470178
2019/07/12 13:20:45.625798,32156.099,4.296381,-4.852167,-7.715949,6.235267,-11.2133,4.98086
2019/07/12 13:20:45.625928,32286.286,5.224105,-5.250975,-8.379215,6.669431,-11.17794,4.508512
